DISTRICT 03 OFFICE - DMV ANNEX,74877.4,67427
DIXON MAINTENANCE STATION,8265.1,26703.2
DORAN MAINTENANCE STATION,0,0
DORRIS SANDHOUSE,2988,3306
DOWNIEVILLE MAINTENANCE STATION,75527.9,67902.5
Dry Creek Maint,101853.1,97527.6
EAST BAY REGION MAINTENANCE STATION,144329.1,119224.4
East Los Angeles Maint,65284.1,57282.3
ECHO SUMMIT CONSTRUCTION LABORATORY,52366.6,49392
EL CENTRO MAINTENANCE STATION,58089.6,89549.4
El Dorado S/S,0,0
ELK GROVE MAINTENANCE STATION,29803.3,34185
ELSINORE MAINTENANCE STATION,53865.8,46559.4
Emeline Landscape Satellite,0,0
Empire St Satellite,0,0
EQUIPMENT SHOP 01,169032.1,159107.6
EQUIPMENT SHOP 03,190484.6,230748.1
EQUIPMENT SHOP 04,273785.7,286370.1
EQUIPMENT SHOP 05 (2501),36858.3,52684.6
EQUIPMENT SHOP 06 (2601),0,0
EQUIPMENT SHOP 07 (2701),255600,368640
EQUIPMENT SHOP 08 (2801),292232.4,286896.6
Escondido Maintenance Station,25592.7,31162.2
ESPARTO MAINTENANCE STATION,17407.8,14797
ESSEX MAINTENANCE STATION,52014.5,54359.1
FAIRFIELD MAINTENANCE STATION,104834.9,56977.9
FAWNSKIN MAINTENANCE STATION,0,0
FILLMORE MAINTENANCE STATION,33525.8,28089.3
FLORENCE AVENUE MAINTENANCE STATION,70579.2,81129.2
Floriston S/S,0,0
FOOTHILL MAINTENANCE STATION,65842.5,64359.2
FORT BRAGG MAINTENANCE STATION,0,0
FORT ROSS MAINTENANCE STATION,57355.2,69224.9
FORTUNA MAINTENANCE STATION,32100,31764.5
FRAZIER MOUNTAIN PARKSAND/SALT STORAGE,0,0
FREDONYER SANDHOUSE,1374,2127
FREMONT MAINTENANCE STATION,41019.9,43332.6
Fresno Maintenance Station,103051.7,131308.9
GARBERVILLE MAINTENANCE STATION,67472.3,59968
GEYSERVILLE MAINTENANCE STATION,11146.5,11963.3
GIBSON MAINTENANCE STATION,91955.1,91769.9
Gilroy Maintenance Station,0,0
GLENNVILLE MAINTENANCE STATION,6505.3,4223.1
Gold Run S/S,2867.1,3090.4
GRASS LAKE MAINTENANCE STATION,39199.8,51880.2
GRASSHOPPER SANDHOUSE,2382,2103
GREENVILLE WYE SANDHOUSE,6404.4,5413.4
GROVELAND MAINTENANCE STATION,59567.5,56321.5
Half Moon Bay Maint,17028.1,20644.1
HALLELUJAH JCT SANDHOUSE,6067.8,8761.8
Happy Gap S/S,3834.2,4693.3
HAT CREEK MAINTENANCE STATION,0,0
Hatchet Mtn Sandhouse,3645.5,4655.4
HAYFORK MAINTENANCE STATION,42960,36559.8
HAYWARD MAINTENANCE STATION,0,0
HEADQUARTERS EQUIPMENT SHOP,1036462.1,1035945.9
HEMET MAINTENANCE STATION,49916.4,48384.8
HERCULES MAINTENANCE STATION,26356.8,22286
HILT SANDHOUSE,4698,3660
HOLLISTER MAINTENANCE STATION,18493.7,14280.4
Humphrey Maint,4764.4,3925.8
HUNTINGTON BEACH FIELD OFFICE,82157.4,62061.8
Huntington Lake Satellite Maint,21309.7,20859.9
IDLEWILD MAINTENANCE STATION,55120,57600
Imperial Avenue Maintenance Station,14668.8,17398.8
INDEPENDENCE MAINTENANCE STATION (OPEN),39336,101040
INDIO MAINTENANCE STATION,38260,106670
INYOKERN MAINTENANCE STATION,95524.6,88603.7
IONE MAINTENANCE STATION,10598.8,8361.6
JUNCTION 44/36 SAND STORAGE,2298,4903.8
Kearney Mesa Maintainance Station,0,0
Keen Camp,41920.2,38160
Kempton Maint,766.3,790.7
KETTLEMAN CITY MAINTENANCE STATION,38371,35704
KING CITY MAINTENANCE STATION,20939.4,16888.4
KINGVALE MAINTENANCE STATION,575068.9,519298.1
KYBURZ MAINTENANCE STATION,99770.1,91056.9
"Lake Henshaw, Santa Ysabel, Maintenance",38239.8,22200
LAKEPORT MAINTENANCE STATION,43208.4,34209.4
Lakeview Point Satellite,0,0
LANCASTER MAINTENANCE STATION,46673.3,42271.6
LAS FLORES MAINTENANCE STATION,18716.9,18528.2
LEBEC MAINTENANCE STATION 1,38063.7,29199.2
LEE VINING MAINTENANCE STATION,15517.2,14819
LEE'S SUMMIT SANDHOUSE,3321,1351.8
LEGGETT MAINTENANCE STATION,31005.3,30525.6
LEMON COVE MAINTENANCE STATION,2236.3,2736.1
