ZIP,SiteEnergyUse2013,GridPurchase2013,WaterUse2013,SiteEnergyUse2014,GridPurchase2014,WaterUse2014
93280,155640368.6,20205311.4,287508.4,143887252.9,16473265.3,246640.5
93286,0,32519,51.5,0,39767.4,41.5
93291,0,0,149.4,0,0,144.6
93292,2296892.8,468231.9,6492,2095318.9,471688.6,5471.5
93301,1348511.9,306076.7,857.3,1278038.2,303476.3,837.1
93307,4636757.7,398771.5,5325.4,3481388.3,473244.7,1872.5
93308,2686788.5,522141.6,727.9,2487972.8,485751.6,3548.8
93312,538563.8,157844,66.4,630066.8,184662,15.1
93401,1183171.2,875065.1,2196.6,5086957.3,849531,1377.9
93402,45621,13370.8,1516.9,45572.7,13356.6,906
93405,22380388.9,4236192,44.4,20252312.6,4217793.4,39.8
93409,239383976.6,15155111,255150,221261093.9,15112069.6,229580
93420,0,0,4922.6,0,0,2742.1
93422,0,39582.3,86988.6,0,37351,70072
93426,0,24075.6,94.4,0,24623.9,83.5
93427,675287.8,121141.1,380,588974.8,93791.9,392.3
93428,273116.7,52275,91.2,216986.9,60046.4,86.7
93430,0,16339.5,39.8,0,17890.9,39.8
93436,0,0,4927.2,0,0,3075.7
93442,0,242647.5,4247.9,48848.4,232279.5,0
93444,0,40075.5,44.4,0,43225.2,39.8
93446,309917,185288.8,1450.6,301932.7,201159.1,1449.3
93447,3898393.6,841908.9,6031.6,3938349.3,858924.1,4506.5
93451,0,10970.7,51.5,0,14207.6,34.6
93452,0,0,12765.2,0,0,5339.3
93453,209401.3,107980.2,283.8,123044.5,89626.5,277.1
93454,1208237.8,211906,1534.4,1075562.3,240536.7,878.7
93455,0,20354.6,629.1,144859.6,14117.9,436.9
93458,0,0,0,0,0,0
93461,51526.3,38949.1,265.8,0,24050.2,168
93465,1289110.4,163781.4,848.3,848982.8,151968.1,819.5
93501,739009.4,216591.3,539,1110721.8,294613.6,556.5
93512,101235.4,29670.4,1836.9,144554.8,42366.6,1836.1
93513,2047671.6,600138.1,2305.3,1674670.9,490817.9,2338.9
93514,1151436.6,1339960.3,3093.5,5516604.5,1390764.1,2881.8
93516,595417.4,45091.8,81.9,527903.8,39485.6,82.1
93517,1496997.3,438744.7,867.6,949893.1,278397.8,596.3
93519,0,0,705.4,0,0,402.8
93526,334763.5,134153.6,381.8,578659.4,197490.5,360.1
93527,325930,95524.6,89,302315.9,88603.7,796.2
93529,227477.4,66669.8,46.8,111969.6,32816.4,46.9
93534,332823.7,46948.5,130.2,229129.8,42798.9,107.3
93535,0,0,937.3,0,0,806.3
93536,170373084.6,15463790.8,207329.6,148512662.8,15225589.6,174810.6
93541,52944.6,15517.2,92,50562.4,14819,3
93545,0,0,0,0,0,0
93546,1582752.4,463878.1,2215.6,1641758.7,481171.9,1813.2
93550,604073.7,99888.9,1282.6,510361.7,107760.4,1433.9
93553,90436.2,26505.3,1515,84514.4,24769.7,2179.5
93555,0,0,0,0,0,0
93557,0,38219.7,51.5,0,52462.7,46.1
93561,225511498.8,13278903.9,367050,211488021.9,11732903,326704.2
93563,0,0,2009.5,0,0,1755.8
93601,185181.4,54273.6,102.2,220045.8,64491.8,83.5
93610,116565580.6,16486725.6,550479.3,227158006.2,27762271.2,510479.4
93612,0,44674.8,94.4,0,45996.3,83.5
93614,189751.3,55612.9,128.7,155283.2,45510.9,129
93619,0,39506.8,51.5,0,48377.8,46.1
93624,925630.1,271286.6,393.2,761677.3,223234.8,236.1
93626,577359.5,350901.8,8722.4,594559.4,355998.6,3228
93629,76525,22428.2,23.4,73629.6,21579.6,0
93635,2815852.5,748495,16109.5,2115546.1,569132.7,8185.4
93637,2753046.1,545955.3,506.7,2484397.9,559997.1,493.2
93638,499991.1,42274.7,0,317211.8,39110.5,0
93640,2258100.5,637207,26.8,1432047,405219.6,32.5
93641,1148604.2,352031.4,2611,1164154.7,357703.7,2453.6
93644,48273.2,57744.8,351,533104.6,47682,263.5
93645,0,47252.2,94.4,0,49542.6,83.5
93648,878631,257512,1841,863202.9,252990.3,10001.4
93653,0,42889.5,51.5,0,41796.1,46.1
93654,0,0,0,0,0,0
93657,0,181687.4,65.8,0,181743.2,58.6
93664,189761.7,87429,332.3,160408.5,79797.7,327.7
93675,0,91613.8,126.4,0,87436,114.2
93693,0,35976.2,63.4,0,41876.9,64
93702,718784.2,87820.5,469.4,462312.4,81527.9,608.6
93705,0,192298,3863.6,1018483.4,209957.9,3036.4
93706,20081418,3089748.9,21813.6,20303005.7,3047608.4,16976.9
93710,2970111.3,714540.1,8.6,2882362.9,721586.1,8.6
93720,7051.5,2066.7,71.6,1514.5,443.9,71.4
93721,7177986.3,1274520.2,3852.1,6288827.9,1213736.5,2476.9
93722,859825.1,151760,1825.1,843541.6,186800,1039.1
93726,8809126,2419691.8,5416.5,8264861.7,2317068.9,2670.1
93727,12539343.4,2071000.4,5108.8,15867648.1,2553125.3,3324.3
93728,3326436.2,2322247.4,6996.8,6276957.7,1062081.7,4206.1
93737,1002440.1,97887.3,908.3,972580.9,99394.2,723.9
93901,2843049.2,496010.5,1109.4,2317567.2,427786,571.2
93905,410362.9,54635.1,12.1,327852.6,55573.3,14.4
93906,842091.6,137968,598.8,809297,137253.3,570
93907,2671.3,782.9,0,0,0,0
93920,265743.8,77885.1,34184.7,266590.7,78133.3,22634.4
93923,0,12344.8,51.5,0,13999.4,362.3
93930,1683771.4,279632.3,4828.7,1464092.3,272274.8,5400.3
93932,0,22311.4,51.5,0,23598.3,34.6
